Gene	TFfam	blastiden
BraA06g034220.3.5C	CPP	100.000
BraA01g011760.3.5C	Dof	90.204
BraA03g041670.3.5C	Trihelix	100.000
BraA06g026520.3.5C	ARF	100.000
BraA08g018830.3.5C	HB-PHD	100.000
BraA03g059880.3.5C	B3	100.000
BraA06g010750.3.5C	C2H2	100.000
BraA08g030710.3.5C	C2H2	100.000
BraA08g003830.3.5C	B3	98.958
BraA03g037980.3.5C	MYB_related	100.000
BraA10g013070.3.5C	bHLH	100.000
BraA05g034050.3.5C	GRAS	100.000
BraA10g029870.3.5C	ERF	80.469
BraA05g039270.3.5C	FAR1	99.524
BraA02g047420.3.5C	LBD	100.000
BraA03g023930.3.5C	MIKC_MADS	100.000
BraA10g015920.3.5C	CO-like	100.000
BraA09g038260.3.5C	CO-like	100.000
BraA05g034150.3.5C	MYB	97.479
BraA06g019880.3.5C	ARF	92.829
BraA03g006910.3.5C	C2H2	100.000
BraA02g037300.3.5C	WRKY	100.000
BraA08g025490.3.5C	SBP	100.000
BraA04g032380.3.5C	B3	100.000
BraA08g023160.3.5C	DBB	100.000
BraA08g019270.3.5C	CPP	99.826
BraA10g032060.3.5C	C2H2	100.000
BraA09g065020.3.5C	Dof	100.000
BraA07g038220.3.5C	NF-YA	100.000
BraA04g014780.3.5C	bHLH	100.000
BraA01g016420.3.5C	C2H2	100.000
BraA05g001720.3.5C	LBD	100.000
BraA03g057940.3.5C	WRKY	100.000
BraA06g002840.3.5C	bHLH	100.000
BraA02g020040.3.5C	WRKY	100.000
BraA08g000510.3.5C	WRKY	100.000
BraA08g007470.3.5C	bZIP	100.000
BraA09g007110.3.5C	MYB	100.000
BraA09g047320.3.5C	bZIP	100.000
BraA09g008850.3.5C	ZF-HD	100.000
BraA06g009210.3.5C	bHLH	100.000
BraA01g035250.3.5C	B3	100.000
BraA03g053370.3.5C	bHLH	99.078
BraA03g004290.3.5C	MYB	99.699
BraA03g039920.3.5C	EIL	99.484
BraA09g034180.3.5C	HSF	100.000
BraA07g027320.3.5C	MYB	100.000
BraA08g034140.3.5C	MYB_related	100.000
BraA10g011770.3.5C	MYB_related	100.000
BraA01g043390.3.5C	bHLH	100.000
BraA09g025280.3.5C	bZIP	100.000
BraA04g018830.3.5C	bHLH	100.000
BraA03g049260.3.5C	MIKC_MADS	100.000
BraA01g014810.3.5C	Nin-like	100.000
BraA05g027120.3.5C	AP2	95.214
BraA01g031220.3.5C	bHLH	100.000
BraA07g011440.3.5C	C3H	99.740
BraA02g018730.3.5C	bHLH	100.000
BraA09g011880.3.5C	HD-ZIP	100.000
BraA07g041660.3.5C	ERF	100.000
BraA06g004590.3.5C	M-type_MADS	100.000
BraA04g012770.3.5C	NAC	100.000
BraA09g042890.3.5C	bZIP	100.000
BraA04g003960.3.5C	bHLH	100.000
BraA07g038800.3.5C	EIL	100.000
BraA08g029810.3.5C	MYB_related	100.000
BraA05g000870.3.5C	bHLH	100.000
BraA08g003480.3.5C	M-type_MADS	100.000
BraA07g041190.3.5C	SBP	100.000
BraA02g033640.3.5C	WOX	93.506
BraA01g002640.3.5C	bZIP	100.000
BraA04g029420.3.5C	bHLH	100.000
BraA01g025300.3.5C	bHLH	100.000
BraA05g011060.3.5C	ARF	100.000
BraA01g001120.3.5C	bHLH	100.000
BraA08g024740.3.5C	HB-other	100.000
BraA06g036800.3.5C	bHLH	100.000
BraA10g023820.3.5C	CO-like	100.000
BraA06g042690.3.5C	ERF	100.000
BraA05g010190.3.5C	bHLH	100.000
BraA02g044960.3.5C	MIKC_MADS	93.827
BraA01g020850.3.5C	ARR-B	99.842
BraA04g013110.3.5C	M-type_MADS	76.261
BraA05g030850.3.5C	NAC	100.000
BraA02g000540.3.5C	Dof	100.000
BraA07g008210.3.5C	Trihelix	100.000
BraA02g043350.3.5C	B3	100.000
BraA03g026010.3.5C	GRF	100.000
BraA03g045880.3.5C	C3H	99.922
BraA01g031790.3.5C	MYB	100.000
BraA02g046620.3.5C	ERF	100.000
BraA06g046310.3.5C	Nin-like	87.959
BraA06g001550.3.5C	MIKC_MADS	100.000
BraA03g059760.3.5C	MIKC_MADS	100.000
BraA06g041410.3.5C	C2H2	99.483
BraA03g012560.3.5C	bHLH	97.561
BraA07g021960.3.5C	B3	99.647
BraA02g047100.3.5C	ZF-HD	100.000
BraA05g014370.3.5C	LBD	100.000
BraA05g007660.3.5C	M-type_MADS	100.000
BraA05g039930.3.5C	bHLH	100.000
BraA02g014320.3.5C	C2H2	77.397
BraA07g017710.3.5C	GRAS	100.000
BraA01g034180.3.5C	bHLH	100.000
BraA08g030920.3.5C	WRKY	99.208
BraA03g035120.3.5C	ERF	100.000
BraA10g033230.3.5C	MYB_related	96.449
BraA09g064620.3.5C	YABBY	100.000
BraA07g035170.3.5C	SBP	100.000
BraA06g029830.3.5C	MYB	100.000
BraA05g019030.3.5C	RAV	99.708
BraA01g002380.3.5C	GATA	100.000
BraA09g053290.3.5C	bHLH	100.000
BraA02g047170.3.5C	Dof	100.000
BraA08g031400.3.5C	ERF	76.596
BraA10g022290.3.5C	WOX	100.000
BraA09g005380.3.5C	C2H2	100.000
BraA01g016980.3.5C	GATA	100.000
BraA05g012780.3.5C	FAR1	100.000
BraA01g046050.3.5C	HD-ZIP	100.000
BraA05g039410.3.5C	bHLH	100.000
BraA06g038080.3.5C	bHLH	100.000
BraA04g033440.3.5C	bHLH	78.261
BraA02g024830.3.5C	NAC	100.000
BraA03g059910.3.5C	ERF	99.630
BraA02g042120.3.5C	G2-like	99.749
BraA02g002310.3.5C	ARR-B	100.000
BraA10g010780.3.5C	ERF	100.000
BraA09g052150.3.5C	ERF	79.032
BraA05g021870.3.5C	ERF	84.424
BraA05g042170.3.5C	TCP	100.000
BraA09g050310.3.5C	bHLH	100.000
BraA04g033290.3.5C	Dof	100.000
BraA02g012800.3.5C	bHLH	100.000
BraA09g054280.3.5C	HSF	99.649
BraA02g015110.3.5C	ERF	99.716
BraA03g043780.3.5C	MYB	100.000
BraA06g000860.3.5C	NF-YA	99.649
BraA03g055800.3.5C	CPP	99.802
BraA08g024070.3.5C	bHLH	100.000
BraA09g010870.3.5C	C3H	99.947
BraA02g040700.3.5C	MYB	100.000
BraA03g050350.3.5C	MYB	100.000
BraA06g043080.3.5C	bHLH	100.000
BraA09g053440.3.5C	bHLH	100.000
BraA06g043970.3.5C	MYB_related	100.000
BraA10g024800.3.5C	MYB	100.000
BraA01g011720.3.5C	bHLH	100.000
BraA01g044780.3.5C	WOX	100.000
BraA03g045720.3.5C	GATA	100.000
BraA05g014280.3.5C	WRKY	100.000
BraA05g005350.3.5C	HD-ZIP	99.873
BraA04g032780.3.5C	MIKC_MADS	100.000
BraA10g030040.3.5C	bZIP	100.000
BraA01g039900.3.5C	MYB	100.000
BraA09g004890.3.5C	G2-like	100.000
BraA07g032730.3.5C	ARF	100.000
BraA01g002540.3.5C	bHLH	99.115
BraA02g041780.3.5C	ARR-B	100.000
BraA10g011040.3.5C	GRAS	100.000
BraA01g017190.3.5C	WRKY	100.000
BraA02g026620.3.5C	WRKY	100.000
BraA03g025880.3.5C	B3	99.285
BraA08g005580.3.5C	WOX	93.385
BraA06g009850.3.5C	bZIP	100.000
BraA03g059360.3.5C	bHLH	100.000
BraA02g002960.3.5C	NAC	100.000
BraA07g023800.3.5C	bHLH	99.688
BraA07g039970.3.5C	MYB_related	100.000
BraA06g028050.3.5C	Trihelix	100.000
BraA08g004970.3.5C	C2H2	100.000
BraA01g004370.3.5C	bHLH	97.465
BraA03g041230.3.5C	MYB	99.650
BraA09g033310.3.5C	Trihelix	100.000
BraA03g060360.3.5C	B3	100.000
BraA03g028180.3.5C	C2H2	100.000
BraA02g045120.3.5C	ERF	72.441
BraA02g000270.3.5C	Trihelix	100.000
BraA06g017930.3.5C	MYB	100.000
BraA08g028760.3.5C	TALE	92.195
BraA07g021190.3.5C	NAC	100.000
BraA05g037320.3.5C	NAC	100.000
BraA02g045210.3.5C	ARF	99.883
BraA04g025230.3.5C	NAC	100.000
BraA09g005820.3.5C	WRKY	99.415
BraA01g001060.3.5C	MIKC_MADS	100.000
BraA07g025130.3.5C	GATA	100.000
BraA02g020130.3.5C	MYB_related	100.000
BraA04g004180.3.5C	bZIP	100.000
BraA02g037370.3.5C	G2-like	99.052
BraA09g042200.3.5C	MYB	100.000
BraA09g039340.3.5C	MYB	100.000
BraA07g020710.3.5C	bHLH	100.000
BraA07g012730.3.5C	MIKC_MADS	100.000
BraA09g037710.3.5C	VOZ	100.000
BraA03g050170.3.5C	bHLH	100.000
BraA02g019450.3.5C	bHLH	100.000
BraA06g045480.3.5C	bZIP	92.941
BraA01g008960.3.5C	NAC	100.000
BraA06g010580.3.5C	ZF-HD	100.000
BraA06g037050.3.5C	CO-like	100.000
BraA05g011310.3.5C	Trihelix	100.000
BraA07g025820.3.5C	B3	100.000
BraA09g065840.3.5C	ERF	100.000
BraA05g030960.3.5C	bZIP	100.000
BraA06g010070.3.5C	WRKY	100.000
BraA03g045390.3.5C	MYB	100.000
BraA03g002720.3.5C	HD-ZIP	100.000
BraA09g023440.3.5C	GATA	100.000
BraA08g028010.3.5C	Trihelix	100.000
BraA05g003660.3.5C	Nin-like	100.000
BraA07g024700.3.5C	FAR1	100.000
BraA02g043100.3.5C	M-type_MADS	98.883
BraA03g040180.3.5C	bHLH	100.000
BraA03g053200.3.5C	GeBP	100.000
BraA01g026030.3.5C	C2H2	100.000
BraA08g015050.3.5C	bHLH	100.000
BraA03g044320.3.5C	Dof	100.000
BraA09g065920.3.5C	DBB	100.000
BraA06g044690.3.5C	HB-other	99.939
BraA06g006710.3.5C	MYB	100.000
BraA02g031170.3.5C	B3	97.845
BraA03g007130.3.5C	bZIP	100.000
BraA04g008720.3.5C	HSF	100.000
BraA01g005280.3.5C	ERF	100.000
BraA08g000010.3.5C	NAC	99.353
BraA09g057320.3.5C	DBB	100.000
BraA09g003790.3.5C	bHLH	100.000
BraA09g066210.3.5C	CO-like	96.199
BraA02g018750.3.5C	MYB	100.000
BraA09g022270.3.5C	HSF	100.000
BraA09g032180.3.5C	C2H2	100.000
BraA05g002730.3.5C	bHLH	99.675
BraA07g016080.3.5C	Nin-like	99.871
BraA08g020510.3.5C	MIKC_MADS	100.000
BraA01g001660.3.5C	AP2	99.538
BraA09g064400.3.5C	NF-YC	100.000
BraA03g000810.3.5C	E2F/DP	100.000
BraA03g033170.3.5C	MYB	100.000
BraA03g038700.3.5C	WOX	100.000
BraA03g005720.3.5C	NAC	100.000
BraA03g010300.3.5C	NAC	98.723
BraA02g009920.3.5C	NAC	100.000
BraA05g028880.3.5C	bZIP	100.000
BraA03g037230.3.5C	TCP	99.754
BraA06g015610.3.5C	SRS	100.000
BraA06g038000.3.5C	ZF-HD	99.709
BraA03g031130.3.5C	C2H2	90.252
BraA02g007170.3.5C	AP2	96.491
BraA01g038880.3.5C	NF-YA	100.000
BraA03g003150.3.5C	MYB	100.000
BraA10g010700.3.5C	MIKC_MADS	97.549
BraA07g039420.3.5C	MYB	98.921
BraA05g032150.3.5C	NF-YB	100.000
BraA07g030220.3.5C	bHLH	100.000
BraA09g006860.3.5C	Dof	100.000
BraA06g031070.3.5C	bZIP	100.000
BraA06g006660.3.5C	MYB_related	100.000
BraA03g036590.3.5C	C2H2	99.819
BraA03g024290.3.5C	MYB_related	98.837
BraA10g033330.3.5C	MYB	100.000
BraA09g027110.3.5C	M-type_MADS	100.000
BraA07g025380.3.5C	MYB	100.000
BraA03g001180.3.5C	E2F/DP	98.082
BraA03g014830.3.5C	MYB	100.000
BraA04g017800.3.5C	HD-ZIP	100.000
BraA04g003060.3.5C	LBD	99.087
BraA05g014200.3.5C	LBD	100.000
BraA04g030210.3.5C	bZIP	100.000
BraA09g004270.3.5C	GRAS	99.798
BraA06g043000.3.5C	HD-ZIP	99.756
BraA07g009630.3.5C	bHLH	99.593
BraA04g004250.3.5C	NAC	84.917
BraA05g017720.3.5C	SBP	98.907
BraA07g038880.3.5C	bHLH	100.000
BraA02g016010.3.5C	ERF	81.696
BraA02g003350.3.5C	EIL	100.000
BraA03g051180.3.5C	MYB	100.000
BraA06g043070.3.5C	bHLH	100.000
BraA05g019050.3.5C	bHLH	100.000
BraA07g018790.3.5C	NF-YB	100.000
BraA04g009070.3.5C	ERF	78.000
BraA09g016600.3.5C	WRKY	99.638
BraA01g013660.3.5C	MIKC_MADS	90.498
BraA01g015460.3.5C	ZF-HD	100.000
BraA10g000100.3.5C	SBP	98.491
BraA08g027400.3.5C	bHLH	99.338
BraA07g034460.3.5C	G2-like	96.417
BraA03g048100.3.5C	HD-ZIP	100.000
BraA10g011200.3.5C	MYB_related	100.000
BraA04g002180.3.5C	BBR-BPC	100.000
BraA08g025070.3.5C	CO-like	100.000
BraA10g029510.3.5C	bZIP	100.000
BraA09g053220.3.5C	HD-ZIP	100.000
BraA02g007100.3.5C	HD-ZIP	100.000
BraA05g015280.3.5C	MYB_related	100.000
BraA01g009630.3.5C	ARR-B	100.000
BraA10g010770.3.5C	ERF	100.000
BraA04g023660.3.5C	bHLH	100.000
BraA09g029650.3.5C	bHLH	100.000
BraA09g043440.3.5C	Dof	100.000
BraA09g025820.3.5C	NAC	89.577
BraA03g018540.3.5C	ERF	76.847
BraA10g018270.3.5C	ARF	99.736
BraA07g024280.3.5C	Trihelix	100.000
BraA06g008530.3.5C	G2-like	99.433
BraA09g009410.3.5C	bHLH	100.000
BraA03g032960.3.5C	bHLH	100.000
BraA06g015360.3.5C	MYB_related	100.000
BraA03g027540.3.5C	NAC	100.000
BraA01g031880.3.5C	bHLH	73.103
BraA03g038130.3.5C	ERF	100.000
BraA09g005370.3.5C	C2H2	93.766
BraA02g021040.3.5C	MIKC_MADS	100.000
BraA10g018640.3.5C	C2H2	100.000
BraA08g029230.3.5C	MYB	100.000
BraA05g032940.3.5C	SBP	100.000
BraA08g019700.3.5C	ERF	100.000
BraA04g021790.3.5C	Dof	100.000
BraA01g034100.3.5C	GATA	97.802
BraA07g035180.3.5C	YABBY	100.000
BraA01g001310.3.5C	LBD	100.000
BraA07g020830.3.5C	HD-ZIP	100.000
BraA07g037710.3.5C	bHLH	100.000
BraA09g058560.3.5C	MYB_related	100.000
BraA09g003870.3.5C	MYB	100.000
BraA01g008710.3.5C	bHLH	94.181
BraA05g013800.3.5C	TCP	100.000
BraA09g037960.3.5C	B3	98.607
BraA10g002290.3.5C	ERF	70.492
BraA03g019090.3.5C	MYB	100.000
BraA04g017390.3.5C	HD-ZIP	100.000
BraA05g009240.3.5C	B3	100.000
BraA06g000950.3.5C	Trihelix	100.000
BraA03g007890.3.5C	NAC	100.000
BraA08g029180.3.5C	Nin-like	99.595
BraA03g018200.3.5C	bHLH	87.931
BraA10g022790.3.5C	NAC	97.541
BraA03g019840.3.5C	MYB	100.000
BraA05g031850.3.5C	MYB_related	99.731
BraA10g003780.3.5C	HD-ZIP	100.000
BraA08g022070.3.5C	AP2	98.134
BraA03g032310.3.5C	CPP	100.000
BraA01g040310.3.5C	C3H	100.000
BraA02g015720.3.5C	GRAS	100.000
BraA03g010890.3.5C	Dof	99.595
BraA03g035960.3.5C	MYB	100.000
BraA03g010700.3.5C	ZF-HD	100.000
BraA01g045640.3.5C	CO-like	100.000
BraA03g034060.3.5C	MYB	100.000
BraA07g037190.3.5C	ERF	99.281
BraA07g013560.3.5C	C2H2	100.000
BraA10g029360.3.5C	HD-ZIP	100.000
BraA05g021320.3.5C	WOX	100.000
BraA09g006410.3.5C	WRKY	100.000
BraA01g034330.3.5C	ERF	100.000
BraA07g032180.3.5C	ARR-B	100.000
BraA01g002890.3.5C	WOX	100.000
BraA06g010740.3.5C	C2H2	99.556
BraA09g011800.3.5C	GATA	100.000
BraA10g024290.3.5C	HD-ZIP	100.000
BraA01g005370.3.5C	MYB	100.000
BraA04g022730.3.5C	WRKY	100.000
BraA09g042270.3.5C	M-type_MADS	100.000
BraA02g044590.3.5C	MYB	100.000
BraA09g061890.3.5C	bZIP	100.000
BraA09g051840.3.5C	MYB_related	100.000
BraA07g040090.3.5C	TALE	100.000
BraA01g011010.3.5C	MYB	100.000
BraA01g043510.3.5C	M-type_MADS	100.000
BraA07g020620.3.5C	Dof	100.000
BraA09g039810.3.5C	NAC	99.778
BraA01g012070.3.5C	bHLH	100.000
BraA01g042050.3.5C	MYB	100.000
BraA09g020840.3.5C	bHLH	100.000
BraA05g011090.3.5C	C3H	100.000
BraA06g006480.3.5C	bHLH	100.000
BraA10g031950.3.5C	C2H2	100.000
BraA03g046290.3.5C	HSF	99.628
BraA05g032630.3.5C	NAC	100.000
BraA09g024650.3.5C	M-type_MADS	94.586
BraA09g064850.3.5C	GATA	100.000
BraA06g037540.3.5C	MYB	100.000
BraA07g011450.3.5C	C3H	100.000
BraA09g045530.3.5C	Dof	100.000
BraA07g024030.3.5C	bZIP	100.000
BraA06g007100.3.5C	NF-X1	100.000
BraA10g013900.3.5C	GRAS	99.582
BraA07g037520.3.5C	NAC	100.000
BraA09g045930.3.5C	GRF	98.691
BraA08g034150.3.5C	GRAS	100.000
BraA07g039460.3.5C	Nin-like	99.291
BraA06g008270.3.5C	GeBP	100.000
BraA02g031000.3.5C	G2-like	100.000
BraA08g009580.3.5C	MYB	100.000
BraA01g035500.3.5C	M-type_MADS	88.012
BraA02g044400.3.5C	TCP	100.000
BraA02g042090.3.5C	MYB	100.000
BraA03g053530.3.5C	MYB	100.000
BraA07g035080.3.5C	bHLH	100.000
BraA04g023920.3.5C	bZIP	99.728
BraA02g047570.3.5C	C2H2	100.000
BraA05g036370.3.5C	B3	100.000
BraA02g017550.3.5C	bHLH	100.000
BraA05g002740.3.5C	bHLH	100.000
BraA07g014900.3.5C	ERF	100.000
BraA07g023910.3.5C	YABBY	100.000
BraA05g043400.3.5C	G2-like	100.000
BraA03g061880.3.5C	MYB	100.000
BraA03g030860.3.5C	NAC	100.000
BraA01g041990.3.5C	C2H2	78.161
BraA06g039430.3.5C	B3	85.079
BraA08g025730.3.5C	ERF	100.000
BraA02g027240.3.5C	LBD	100.000
BraA05g025900.3.5C	FAR1	100.000
BraA03g052510.3.5C	Dof	100.000
BraA04g001910.3.5C	C2H2	100.000
BraA07g009640.3.5C	bHLH	100.000
BraA04g032030.3.5C	HD-ZIP	95.536
BraA02g016110.3.5C	Trihelix	100.000
BraA05g042570.3.5C	C3H	99.745
BraA09g053010.3.5C	ERF	100.000
BraA07g031360.3.5C	Dof	100.000
BraA04g017260.3.5C	CAMTA	100.000
BraA06g001540.3.5C	SBP	100.000
BraA10g000980.3.5C	NAC	92.172
BraA09g050590.3.5C	LBD	98.667
BraA06g006090.3.5C	NF-YB	100.000
BraA04g006330.3.5C	C2H2	100.000
BraA03g048070.3.5C	MYB_related	100.000
BraA03g066070.3.5C	GeBP	100.000
BraA05g042900.3.5C	HD-ZIP	100.000
BraA01g033590.3.5C	Dof	100.000
BraA06g031170.3.5C	WOX	99.660
BraA10g018630.3.5C	MYB	89.892
BraA06g034720.3.5C	MYB_related	100.000
BraA03g062230.3.5C	GRF	99.553
BraA07g035500.3.5C	MIKC_MADS	90.027
BraA09g059940.3.5C	LBD	100.000
BraA04g027470.3.5C	NF-YB	75.568
BraA05g013450.3.5C	DBB	100.000
BraA06g041890.3.5C	GRAS	100.000
BraA08g017790.3.5C	WRKY	100.000
BraA08g020440.3.5C	ERF	99.563
BraA10g007140.3.5C	bZIP	100.000
BraA03g019560.3.5C	MYB	100.000
BraA04g013910.3.5C	MYB_related	92.814
BraA10g019190.3.5C	E2F/DP	100.000
BraA06g026400.3.5C	LFY	100.000
BraA01g034980.3.5C	bHLH	100.000
BraA05g002070.3.5C	bHLH	100.000
BraA10g028580.3.5C	MYB	100.000
BraA09g038760.3.5C	SBP	100.000
BraA03g058080.3.5C	ARR-B	99.606
BraA04g030990.3.5C	LBD	100.000
BraA10g006390.3.5C	C2H2	100.000
BraA02g028650.3.5C	G2-like	100.000
BraA06g010460.3.5C	MYB	100.000
BraA03g026720.3.5C	TALE	100.000
BraA03g013670.3.5C	MYB	98.152
BraA01g041470.3.5C	C2H2	100.000
BraA03g048340.3.5C	MYB	99.704
BraA07g024140.3.5C	NAC	100.000
BraA01g037920.3.5C	NAC	100.000
BraA03g006110.3.5C	NAC	100.000
BraA03g006220.3.5C	C2H2	99.614
BraA03g008240.3.5C	MYB	100.000
BraA07g023610.3.5C	C2H2	100.000
BraA02g047240.3.5C	MYB	100.000
BraA03g051490.3.5C	MIKC_MADS	91.324
BraA01g035600.3.5C	TCP	100.000
BraA01g009150.3.5C	ERF	100.000
BraA07g034680.3.5C	LBD	100.000
BraA03g028000.3.5C	HSF	100.000
BraA09g043610.3.5C	C2H2	100.000
BraA09g064210.3.5C	bHLH	99.797
BraA05g041610.3.5C	WRKY	100.000
BraA05g007400.3.5C	MYB	100.000
BraA03g011630.3.5C	MYB	100.000
BraA08g035700.3.5C	C3H	99.749
BraA05g036770.3.5C	Trihelix	100.000
BraA09g000160.3.5C	bZIP	100.000
BraA01g040090.3.5C	NF-YC	99.656
BraA08g016030.3.5C	bZIP	100.000
BraA02g001050.3.5C	Trihelix	100.000
BraA02g018080.3.5C	TCP	100.000
BraA03g052610.3.5C	WRKY	100.000
BraA07g028990.3.5C	BES1	100.000
BraA10g031140.3.5C	CAMTA	100.000
BraA09g023510.3.5C	ERF	99.660
BraA03g023950.3.5C	TCP	100.000
BraA04g021300.3.5C	bHLH	100.000
BraA09g039620.3.5C	ERF	100.000
BraA07g021750.3.5C	GRF	99.035
BraA05g005830.3.5C	ERF	100.000
BraA02g046970.3.5C	bZIP	100.000
BraA04g019450.3.5C	CO-like	100.000
BraA07g039840.3.5C	BES1	100.000
BraA10g024270.3.5C	bHLH	100.000
BraA06g001760.3.5C	NAC	100.000
BraA03g038220.3.5C	B3	80.682
BraA01g002870.3.5C	Nin-like	98.193
BraA09g011770.3.5C	ZF-HD	99.623
BraA09g011130.3.5C	NAC	100.000
BraA07g007780.3.5C	M-type_MADS	98.377
BraA05g001040.3.5C	bHLH	100.000
BraA08g016870.3.5C	bHLH	100.000
BraA08g029120.3.5C	WRKY	100.000
BraA05g000640.3.5C	MYB_related	100.000
BraA08g030670.3.5C	BBR-BPC	99.638
BraA03g060030.3.5C	TALE	100.000
BraA07g034710.3.5C	ERF	99.671
BraA10g011880.3.5C	ERF	90.934
BraA04g029990.3.5C	bZIP	99.415
BraA06g005240.3.5C	NF-YC	100.000
BraA03g025890.3.5C	B3	100.000
BraA08g005590.3.5C	HSF	100.000
BraA09g023200.3.5C	bHLH	99.799
